item_id,scope,affected_catalogue_keys,question,recommended_default,why_confirmation_matters,who_should_confirm,decision_before_import,priority
CONF-001,Entire catalogue,ALL,Should production_start_year and production_end_year use the main OEM generation years or the earliest/latest years across every included body style?,"Use European generation umbrella years in v1. Resolve actual fitment with body_code, facelift, and build_date.","Hatchback, estate, and cabriolet production can differ by one to four years within the same generation. An inconsistent rule creates overlapping or misleading searches.",Product owner + dismantler catalogue staff,yes,P0
CONF-002,Vehicle taxonomy,Multiple VW/Audi/Opel/Ford/Skoda generations,"Should facelifts such as B5.5, B8.5, Golf 7.5, and Focus Mk2 facelift be stored as generations or in a separate facelift field?",Keep the OEM generation and add facelift_code/start_year. Only Passat B5 3B to 3BG is provisionally split for operations.,"Lights, exterior panels, interior parts, and electronics often change at facelift, but treating every facelift as a new generation breaks OEM taxonomy.",Bulgarian automotive domain expert + at least two dismantlers,yes,P0
CONF-003,Volkswagen Passat,volkswagen__passat__b5-pre-facelift__3b-3b2-3b5 | volkswagen__passat__b5-5-facelift-operational-split__3bg-3b3-3b6,Do Bulgarian sellers normally present Passat B5 3B and B5.5/3BG as two searchable generations?,Separate them in buyer-facing search while retaining OEM_parent_generation=B5 in the database.,"Volkswagen treats 1996-2005 as B5, but pre- and post-facelift exterior and several part families differ enough to affect dismantler searches.",Volkswagen-specialist dismantler,yes,P0
CONF-004,Ford Fiesta,ford__fiesta__*,Should the Bulgarian catalogue display Fiesta Mk5/Mk6/Mk7 European numbering or primarily use years and development codes B256/B299/B479?,Display year range plus European Mk name; use B256/B299/B479 as the stable database identifier.,"UK and US references may number the same Fiesta generation differently, which can lead to seller selection errors.",Ford dismantler + customer support,yes,P0
CONF-005,Mercedes-Benz M-Class / GLE,mercedes-benz__m-class-gle__w166-m-class-gle__w166,"When W166 changed from M-Class to GLE in 2015, should the buyer-facing catalogue use one generation with aliases or two records?","Use one generation_id with M-Class, ML, and GLE aliases; store facelift separately.","The chassis lineage is shared, but the rename coincided with a facelift. Two records duplicate inventory, while a blind merge can misfit exterior parts.",Mercedes-Benz-specialist dismantler,yes,P0
CONF-006,Honda Civic,honda__civic__civic-viii-* | honda__civic__civic-ix-*,Should Civic VIII/IX European hatchbacks FK/FN and sedans FD/FA/FB remain permanently separated as generation variants?,Keep them separate. Share only the model_group and never recommend parts across variants automatically.,"These are different body families under the same generation name, with major differences in panels, glass, interior, and mechanical parts.",Honda-specialist dismantler,yes,P0
CONF-007,Toyota Corolla,toyota__corolla__corolla-x-* | toyota__corolla__corolla-xi-*,Do Bulgarian sellers colloquially classify E150/E180 Auris hatchbacks as Corolla?,Do not merge them. Create Auris as a separate model_group and keep Corolla X/XI limited to sedan scope in this version.,"In Europe, Corolla sedan and Auris hatchback are different named body families. Merging them would create many false part matches.",Toyota-specialist dismantler + search-data owner,yes,P0
CONF-008,Volkswagen Touran,volkswagen__touran__touran-i__1t-1t1-1t2-1t3,Does the local market call 1T1/1T2 and 1T3 Touran I and Touran II?,"Keep the OEM first-generation 1T in the database. A buyer-facing Touran II alias may point to 1T3, but must not create a false OEM generation.",Local parts-catalogue naming can differ from Volkswagen's official generation structure.,Volkswagen-specialist dismantler,no,P1
CONF-009,Data model,ALL,"Does the v1 data model include body_style/body_code, facelift, engine_code, gearbox_code, drivetrain, LHD/RHD, and OE_part_number?","Use generation only as a navigation layer. Compatibility should require OE number plus body/facelift and relevant engine, gearbox, or drivetrain attributes.",A shared generation does not mean all parts fit. Missing these attributes would incorrectly turn the catalogue into a fitment rule.,Technical owner + dismantler catalogue staff,yes,P0
CONF-010,Priority ranking,ALL,"Can at least two dismantlers provide the last 12 months of donor count, active-part count, enquiries, and completed sales to validate P0/P1/P2?","Use the current priority initially, then rerank using completed sales 40%, enquiries 30%, active parts 20%, and donor vehicles 10%.",Public registration volume represents potential demand but not dismantler supply depth or actual parts sales velocity.,Bulgarian automotive domain expert + partner dismantlers,no,P0
CONF-011,Make coverage,N/A,"Which of Dacia, SEAT, Hyundai, Kia, Volvo, and Mazda has enough partner-yard inventory to replace lower-priority v1 entries?","Do not add them without evidence. If any make ranks in the partner network's top 14 by donor or sales count, replace low-priority entries such as Fiat Doblo I, Honda Civic VII, or Micra IV.",The v1 brief limits make coverage to 10-20. Public market statistics do not reveal the inventory mix of the actual dismantler network.,Bulgarian automotive domain expert + partner dismantlers,no,P1
CONF-012,Imported vehicles / LHD-RHD,ALL,"Will the marketplace accept UK right-hand-drive donor vehicles, and which part categories must be blocked from automatic left-hand-drive matching?","Allow RHD donors, but apply handedness restrictions to steering, dashboard, pedals, wipers, lighting, and similar parts. Default buyer search to LHD.","Some Bulgarian donor vehicles may come from the UK. Steering side affects interior, steering, wiper, and lighting components.",Partner dismantlers + catalogue-rules owner,yes,P1
