catalogue_key,make,model_group,generation_name,chassis_platform_code,production_start_year,production_end_year,year_basis,scope_note,bg_market_evidence,bg_market_catalogue_source_url,bg_market_context_source_url,technical_source_name,technical_source_url,priority,priority_reason,confidence,local_confirmation_required,source_checked_on
volkswagen__golf__golf-iv__1j-1j1-1j5,Volkswagen,Golf,Golf IV,1J (1J1/1J5),1997,2006,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Golf hatchback and Variant. Golf Plus, Sportsvan, and Cabriolet are excluded. Match body style and year by OE number or VIN.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Golf model history/archive,https://www.volkswagen-newsroom.com/en/the-new-golf-international-vehicle-presentation-5609/the-history-of-the-golf-5625,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
volkswagen__golf__golf-v__1k-1k1-1k5,Volkswagen,Golf,Golf V,1K (1K1/1K5),2003,2009,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Golf hatchback and Variant. Golf Plus, Sportsvan, and Cabriolet are excluded. Match body style and year by OE number or VIN.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Golf model history/archive,https://www.volkswagen-newsroom.com/en/the-new-golf-international-vehicle-presentation-5609/the-history-of-the-golf-5625,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
volkswagen__golf__golf-vi__5k-aj-5k1-aj5,Volkswagen,Golf,Golf VI,5K/AJ (5K1/AJ5),2008,2013,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Golf hatchback and Variant. Golf Plus, Sportsvan, and Cabriolet are excluded. Match body style and year by OE number or VIN.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Golf model history/archive,https://www.volkswagen-newsroom.com/en/the-new-golf-international-vehicle-presentation-5609/the-history-of-the-golf-5625,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
volkswagen__golf__golf-vii__5g-ba-5g1-ba5,Volkswagen,Golf,Golf VII,5G/BA (5G1/BA5),2012,2020,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Golf hatchback and Variant. Golf Plus, Sportsvan, and Cabriolet are excluded. Match body style and year by OE number or VIN.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Golf model history/archive,https://www.volkswagen-newsroom.com/en/the-new-golf-international-vehicle-presentation-5609/the-history-of-the-golf-5625,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
volkswagen__passat__b5-pre-facelift__3b-3b2-3b5,Volkswagen,Passat,B5 (pre-facelift),3B (3B2/3B5),1996,2000,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European sedan and Variant. CC and Alltrack are excluded. B5.5 is an operational parts-market split, not a separate full OEM generation.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Passat model archive,https://www.volkswagen-newsroom.com/en/passat-b5-19962005-19546,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",medium,true,2026-09-07
volkswagen__passat__b5-5-facelift-operational-split__3bg-3b3-3b6,Volkswagen,Passat,B5.5 (facelift; operational split),3BG (3B3/3B6),2000,2005,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European sedan and Variant. CC and Alltrack are excluded. B5.5 is an operational parts-market split, not a separate full OEM generation.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Passat model archive,https://www.volkswagen-newsroom.com/en/passat-b5-19962005-19546,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,medium,true,2026-09-07
volkswagen__passat__b6__3c-3c2-3c5,Volkswagen,Passat,B6,3C (3C2/3C5),2005,2010,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European sedan and Variant. CC and Alltrack are excluded. B5.5 is an operational parts-market split, not a separate full OEM generation.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Passat model archive,https://www.volkswagen-newsroom.com/en/passat-17451,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
volkswagen__passat__b7__3c-362-365,Volkswagen,Passat,B7,3C (362/365),2010,2014,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European sedan and Variant. CC and Alltrack are excluded. B5.5 is an operational parts-market split, not a separate full OEM generation.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Passat model archive,https://www.volkswagen-newsroom.com/en/passat-17451,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
volkswagen__passat__b8__3g-3g2-3g5,Volkswagen,Passat,B8,3G (3G2/3G5),2014,2023,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European sedan and Variant. CC and Alltrack are excluded. B5.5 is an operational parts-market split, not a separate full OEM generation.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Passat model archive,https://www.volkswagen-newsroom.com/en/passat-17451,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
volkswagen__polo__polo-iii__6n-6n1-6n2,Volkswagen,Polo,Polo III,6N (6N1/6N2),1994,2001,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European hatchback. Polo Classic, Variant, and regional sedans are excluded.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Polo model archive,https://www.volkswagen-newsroom.com/en/polo-3-19942001-19147,P2,"Low-priority retention: older generation, thinner supply, or a naming/body boundary that should be validated against local inventory.",high,false,2026-09-07
