item_id,scope,affected_catalogue_keys,question_zh,recommended_default,why_confirmation_matters,who_should_confirm,decision_before_import,priority
CONF-001,全目錄,ALL,production_start_year/end_year 要採原廠世代主體年份，還是每個車身型式的最早/最晚年份？,首版採歐洲世代 umbrella 年份；真正 fitment 再用 body_code、facelift、build_date。,同世代 hatch/estate/cabrio 常有 1–4 年差；若年份規則不固定會造成重疊與錯誤搜尋。,產品負責人 + 拆車廠目錄人員,yes,P0
CONF-002,全目錄,多個 VW/Audi/Opel/Ford/Škoda 世代,facelift（例如 B5.5、B8.5、Golf 7.5、Focus Mk2 facelift）是否要成為 generation，還是獨立 facelift 欄位？,保留原廠 generation，另設 facelift_code/start_year；只有 Passat B5/3B→3BG 暫做營運拆分。,外觀、燈具、內裝與電子模組常在 facelift 改變；但把所有 facelift 當新世代會破壞 OEM taxonomy。,你男朋友 + 2 家以上拆車廠,yes,P0
CONF-003,Volkswagen Passat,volkswagen__passat__b5-pre-facelift__3b-3b2-3b5 | volkswagen__passat__b5-5-facelift-operational-split__3bg-3b3-3b6,本地賣家是否普遍把 Passat B5 3B 與 B5.5/3BG 當成兩個可搜尋世代？,是，前台分開；後台保留 OEM_parent_generation=B5。,原廠將 1996–2005 視為 B5，但前後期外觀與多個零件族差異足以影響拆車搜尋。,VW 專門拆車廠,yes,P0
CONF-004,Ford Fiesta,ford__fiesta__*,保加利亞平台使用 Fiesta Mk5/Mk6/Mk7（歐洲編號）還是依年份/開發碼 B256/B299/B479 呈現？,前台顯示年份 + 歐洲 Mk；資料庫以 B256/B299/B479 為穩定識別。,英美資料源的 Mk 編號常差一代，容易讓賣家把同名世代上錯。,Ford 拆車廠 + 客服,yes,P0
CONF-005,Mercedes-Benz M-Class / GLE,mercedes-benz__m-class-gle__w166-m-class-gle__w166,W166 在 2015 年由 M-Class 改名 GLE，前台要同一世代雙別名，還是拆成兩列？,同一 generation_id，保留 M-Class、ML、GLE 三組 alias；facelift 另欄。,底盤 lineage 相同，但名稱與 facelift 同期變動；拆列會重複庫存，硬合併又可能誤配外觀件。,Mercedes 專門拆車廠,yes,P0
CONF-006,Honda Civic,honda__civic__civic-viii-* | honda__civic__civic-ix-*,確認本地庫存是否應把 Civic VIII/IX 的歐規 hatch（FK/FN）與 sedan（FD/FA/FB）永久拆成不同 generation_variant。,保持拆分；只共用 model_group，不跨 variant 推薦零件。,同世代名稱下是不同車體家族，鈑件、玻璃、內裝及大量機械件不共用。,Honda 拆車廠,yes,P0
CONF-007,Toyota Corolla,toyota__corolla__corolla-x-* | toyota__corolla__corolla-xi-*,保加利亞賣家是否把 E150/E180 Auris hatch 也口語歸到 Corolla？,不要合併；Auris 建獨立 model_group，Corolla X/XI 本版限定 sedan。,歐洲市場 Corolla sedan 與 Auris hatch 名稱/車體不同，任意合併會產生大量錯誤配件。,Toyota 拆車廠 + 搜尋數據負責人,yes,P0
CONF-008,Volkswagen Touran,volkswagen__touran__touran-i__1t-1t1-1t2-1t3,本地市場是否把 1T1/1T2 與 1T3 稱為 Touran I/II？,資料庫維持 OEM 第一代 1T；前台 alias 可接受『Touran II』指 1T3，但不可另造 OEM 世代。,MEGAPARTS 等本地目錄的市場命名可能與 Volkswagen 官方世代不同。,VW 拆車廠,no,P1
CONF-009,全目錄,ALL,第一版資料模型是否已有 body_style/body_code、facelift、engine_code、gearbox_code、drivetrain、LHD/RHD 與 OE_part_number？,generation 只做導航層；零件相容至少需 OE 號 + body/facelift + engine/gearbox/drivetrain。,世代相同不等於零件共用；缺少這些欄位會把 catalogue 誤用成 fitment 規則。,技術負責人 + 拆車廠目錄人員,yes,P0
CONF-010,優先級,ALL,請用至少 2 家拆車廠最近 12 個月的 donor 數、在售件數、詢價數、成交件數驗證 P0/P1/P2。,先沿用本檔 priority；取得數據後以成交件數 40%、詢價 30%、在售件 20%、donor 10% 重排。,公開登記量代表車隊需求，但不等於拆車供給深度或實際零件成交速度。,你男朋友 + 合作拆車廠,no,P0
CONF-011,廠牌覆蓋,N/A,Dacia、SEAT、Hyundai、Kia、Volvo、Mazda 中，哪些在合作拆車廠的實際庫存高到應替換本版 P2 車型？,先不硬加；若任一品牌 donor 或成交件數進前 14，替換低優先的 Fiat Doblò I、Honda Civic VII、Micra IV 等 P2 列。,本版受 10–20 廠牌限制；公開市場統計不足以判斷單一拆車網絡的實際庫存組成。,你男朋友 + 合作拆車廠,no,P1
CONF-012,進口車/LHD-RHD,ALL,是否允許英國 RHD donor 上架，若允許哪些零件類別要禁止自動配到 LHD？,允許 donor，但 steering/dashboard/pedal/wiper/lighting 等建立 handedness 限制；前台預設 LHD。,保加利亞可能有英國來源拆車；方向盤側別會影響內裝、轉向、雨刷、頭燈等零件。,拆車廠 + 目錄規則負責人,yes,P1
